"x"
"1"	"CHAPTER XI."
"2"	"Pudd'nhead's Startling Discovery."
"3"	"There are three infallible ways of pleasing an author, and the three"
"4"	"form a rising scale of compliment: 1, to tell him you have read one of"
"5"	"his books; 2, to tell him you have read all of his books; 3, to ask him"
"6"	"to let you read the manuscript of his forthcoming book. No. 1 admits you"
"7"	"to his respect; No. 2 admits you to his admiration; No. 3 carries you"
"8"	"clear into his heart.--Pudd'nhead Wilson's Calendar."
"9"	"As to the Adjective: when in doubt, strike it out.--Pudd'nhead Wilson's"
"10"	"Calendar."
"11"	"The twins arrived presently, and talk began. It flowed along chattily"
"12"	"and sociably, and under its influence the new friendship gathered ease"
"13"	"and strength. Wilson got out his Calendar, by request, and read a"
"14"	"passage or two from it, which the twins praised quite cordially. This"
"15"	"pleased the author so much that he complied gladly when they asked him"
"16"	"to lend them a batch of the work to read at home. In the course of their"
"17"	"wide travels they had found out that there are three sure ways of"
"18"	"pleasing an author; they were now working the best of the three."
"19"	"There was an interruption, now. Young Tom Driscoll appeared, and joined"
"20"	"the party. He pretended to be seeing the distinguished strangers for the"
"21"	"first time when they rose to shake hands; but this was only a blind, as"
"22"	"he had already had a glimpse of them, at the reception, while robbing"
"23"	"the house. The twins made mental note that he was smooth-faced and"
"24"	"rather handsome, and smooth and undulatory in his movements--graceful,"
"25"	"in fact. Angelo thought he had a good eye; Luigi thought there was"
"26"	"something veiled and sly about it. Angelo thought he had a pleasant"
"27"	"free-and-easy way of talking; Luigi thought it was more so than was"
"28"	"agreeable. Angelo thought he was a sufficiently nice young man; Luigi"
"29"	"reserved his decision. Tom's first contribution to the conversation was"
"30"	"a question which he had put to Wilson a hundred times before. It was"
"31"	"always cheerily and good-naturedly put, and always inflicted a little"
"32"	"pang, for it touched a secret sore; but this time the pang was sharp,"
"33"	"since strangers were present."
"34"	"\"Well, how does the law come on? Had a case yet?\""
"35"	"Wilson bit his lip, but answered, \"No--not yet,\" with as much"
"36"	"indifference as he could assume. Judge Driscoll had generously left the"
"37"	"law feature out of the Wilson biography which he had furnished to the"
"38"	"twins. Young Tom laughed pleasantly, and said:"
"39"	"\"Wilson's a lawyer, gentlemen, but he doesn't practise now.\""
"40"	"The sarcasm bit, but Wilson kept himself under control, and said without"
"41"	"passion:"
"42"	"\"I don't practise, it is true. It is true that I have never had a case,"
"43"	"and have had to earn a poor living for twenty years as an expert"
"44"	"accountant in a town where I can't get hold of a set of books to"
"45"	"untangle as often as I should like. But it is also true that I did fit"
"46"	"myself well for the practice of the law. By the time I was your age,"
"47"	"Tom, I had chosen a profession, and was soon competent to enter upon"
"48"	"it.\" Tom winced. \"I never got a chance to try my hand at it, and I may"
"49"	"never get a chance; and yet if I ever do get it I shall be found ready,"
"50"	"for I have kept up my law-studies all these years.\""
"51"	"\"That's it; that's good grit! I like to see it. I've a notion to throw"
"52"	"all my business your way. My business and your law-practice ought to"
"53"	"make a pretty gay team, Dave,\" and the young fellow laughed again."
"54"	"\"If you will throw--\" Wilson had thought of the girl in Tom's bedroom,"
"55"	"and was going to say, \"If you will throw the surreptitious and"
"56"	"disreputable part of your business my way, it may amount to something;\""
"57"	"but thought better of it and said, \"However, this matter doesn't fit"
"58"	"well in a general conversation.\""
"59"	"\"All right, we'll change the subject; I guess you were about to give me"
"60"	"another dig, anyway, so I'm willing to change. How's the Awful Mystery"
"61"	"flourishing these days? Wilson's got a scheme for driving plain"
"62"	"window-glass out of the market by decorating it with greasy"
"63"	"finger-marks, and getting rich by selling it at famine prices to the"
"64"	"crowned heads over in Europe to outfit their palaces with. Fetch it out,"
"65"	"Dave.\""
"66"	"Wilson brought three of his glass strips, and said--"
"67"	"\"I get the subject to pass the fingers of his right hand through his"
"68"	"hair, so as to get a little coating of the natural oil on them, and then"
"69"	"press the balls of them on the glass. A fine and delicate print of the"
"70"	"lines in the skin results, and is permanent, if it doesn't come in"
"71"	"contact with something able to rub it off. You begin, Tom.\""
"72"	"\"Why, I think you took my finger-marks once or twice before.\""
"73"	"\"Yes; but you were a little boy the last time, only about twelve years"
"74"	"old.\""
"75"	"\"That's so. Of course I've changed entirely since then, and variety is"
"76"	"what the crowned heads want, I guess.\""
"77"	"He passed his fingers through his crop of short hair, and pressed them"
"78"	"one at a time on the glass. Angelo made a print of his fingers on"
"79"	"another glass, and Luigi followed with the third. Wilson marked the"
"80"	"glasses with names and date, and put them away. Tom gave one of his"
