"x"
"1"	"CHAPTER XIV."
"2"	"Roxana Insists Upon Reform."
"3"	"The true Southern watermelon is a boon apart, and not to be mentioned"
"4"	"with commoner things. It is chief of this world's luxuries, king by the"
"5"	"grace of God over all the fruits of the earth. When one has tasted it,"
"6"	"he knows what the angels eat. It was not a Southern watermelon that Eve"
"7"	"took: we know it because she repented.--Pudd'nhead Wilson's Calendar."
"8"	"About the time that Wilson was bowing the committee out, Pembroke Howard"
"9"	"was entering the next house to report. He found the old Judge sitting"
"10"	"grim and straight in his chair, waiting."
"11"	"\"Well, Howard--the news?\""
"12"	"\"The best in the world.\""
"13"	"\"Accepts, does he?\" and the light of battle gleamed joyously in the"
"14"	"Judge's eye."
"15"	"\"Accepts? Why, he jumped at it.\""
"16"	"\"Did, did he? Now that's fine--that's very fine. I like that. When is it"
"17"	"to be?\""
"18"	"\"Now! Straight off! To-night! An admirable fellow--admirable!\""
"19"	"\"Admirable? He's a darling! Why, it's an honor as well as a pleasure to"
"20"	"stand up before such a man. Come--off with you! Go and arrange"
"21"	"everything--and give him my heartiest compliments. A rare fellow,"
"22"	"indeed; an admirable fellow, as you have said!\""
"23"	"Howard hurried away, saying--"
"24"	"\"I'll have him in the vacant stretch between Wilson's and the haunted"
"25"	"house within the hour, and I'll bring my own pistols.\""
"26"	"Judge Driscoll began to walk the floor in a state of pleased excitement;"
"27"	"but presently he stopped, and began to think--began to think of Tom."
"28"	"Twice he moved toward the secretary, and twice he turned away again; but"
"29"	"finally he said--"
"30"	"\"This may be my last night in the world--I must not take the chance. He"
"31"	"is worthless and unworthy, but it is largely my fault. He was intrusted"
"32"	"to me by my brother on his dying bed, and I have indulged him to his"
"33"	"hurt, instead of training him up severely, and making a man of him. I"
"34"	"have violated my trust, and I must not add the sin of desertion to that."
"35"	"I have forgiven him once already, and would subject him to a long and"
"36"	"hard trial before forgiving him again, if I could live; but I must not"
"37"	"run that risk. No, I must restore the will. But if I survive the duel, I"
"38"	"will hide it away, and he will not know, and I will not tell him until"
"39"	"he reforms, and I see that his reformation is going to be permanent.\""
"40"	"He re-drew the will, and his ostensible nephew was heir to a fortune"
"41"	"again. As he was finishing his task, Tom, wearied with another brooding"
"42"	"tramp, entered the house and went tiptoeing past the sitting-room door."
"43"	"He glanced in, and hurried on, for the sight of his uncle had nothing"
"44"	"but terrors for him to-night. But his uncle was writing! That was"
"45"	"unusual at this late hour. What could he be writing? A chill of anxiety"
"46"	"settled down upon Tom's heart. Did that writing concern him? He was"
"47"	"afraid so. He reflected that when ill luck begins, it does not come in"
"48"	"sprinkles, but in showers. He said he would get a glimpse of that"
"49"	"document or know the reason why. He heard some one coming, and stepped"
"50"	"out of sight and hearing. It was Pembroke Howard. What could be"
"51"	"hatching?"
"52"	"Howard said, with great satisfaction:"
"53"	"\"Everything's right and ready. He's gone to the battle-ground with his"
"54"	"second and the surgeon--also with his brother. I've arranged it all with"
"55"	"Wilson--Wilson's his second. We are to have three shots apiece.\""
"56"	"\"Good! How is the moon?\""
"57"	"\"Bright as day, nearly. Perfect, for the distance--fifteen yards. No"
"58"	"wind--not a breath; hot and still.\""
"59"	"\"All good; all first-rate. Here, Pembroke, read this, and witness it.\""
"60"	"Pembroke read and witnessed the will, then gave the old man's hand a"
"61"	"hearty shake and said:"
"62"	"\"Now that's right, York--but I knew you would do it. You couldn't leave"
"63"	"that poor chap to fight along without means or profession, with certain"
"64"	"defeat before him, and I knew you wouldn't, for his father's sake if not"
"65"	"for his own.\""
"66"	"\"For his dead father's sake I couldn't, I know; for poor Percy--but you"
"67"	"know what Percy was to me. But mind--Tom is not to know of this unless I"
"68"	"fall to-night.\""
"69"	"\"I understand. I'll keep the secret.\""
"70"	"The Judge put the will away, and the two started for the battle-ground."
"71"	"In another minute the will was in Tom's hands. His misery vanished, his"
"72"	"feelings underwent a tremendous revulsion. He put the will carefully"
"73"	"back in its place, and spread his mouth and swung his hat once, twice,"
"74"	"three times around his head, in imitation of three rousing huzzas, no"
"75"	"sound issuing from his lips. He fell to communing with himself excitedly"
"76"	"and joyously, but every now and then he let off another volley of dumb"
"77"	"hurrahs."
"78"	"He said to himself: \"I've got the fortune again, but I'll not let on"
"79"	"that I know about it. And this time I'm going to hang on to it. I take"
"80"	"no more risks. I'll gamble no more, I'll drink no more, because--well,"
"81"	"because I'll not go where there is any of that sort of thing going on,"
