"x"
"1"	"CHAPTER IX."
"2"	"Tom Practises Sycophancy."
"3"	"Why is it that we rejoice at a birth and grieve at a funeral? It is"
"4"	"because we are not the person involved.--Pudd'nhead Wilson's Calendar."
"5"	"It is easy to find fault, if one has that disposition. There was once a"
"6"	"man who, not being able to find any other fault with his coal,"
"7"	"complained that there were too many prehistoric toads in it.--Pudd'nhead"
"8"	"Wilson's Calendar."
"9"	"Tom flung himself on the sofa, and put his throbbing head in his hands,"
"10"	"and rested his elbows on his knees. He rocked himself back and forth and"
"11"	"moaned."
"12"	"\"I've knelt to a nigger wench!\" he muttered. \"I thought I had struck the"
"13"	"deepest depths of degradation before, but oh, dear, it was nothing to"
"14"	"this.... Well, there is one consolation, such as it is--I've struck"
"15"	"bottom this time; there's nothing lower.\""
"16"	"But that was a hasty conclusion."
"17"	"At ten that night he climbed the ladder in the haunted house, pale, weak"
"18"	"and wretched. Roxy was standing in the door of one of the rooms,"
"19"	"waiting, for she had heard him."
"20"	"This was a two-story log house which had acquired the reputation a few"
"21"	"years before of being haunted, and that was the end of its usefulness."
"22"	"Nobody would live in it afterward, or go near it by night, and most"
"23"	"people even gave it a wide berth in the daytime. As it had no"
"24"	"competition, it was called the haunted house. It was getting crazy and"
"25"	"ruinous, now, from long neglect. It stood three hundred yards beyond"
"26"	"Pudd'nhead Wilson's house, with nothing between but vacancy. It was the"
"27"	"last house in the town at that end."
"28"	"Tom followed Roxy into the room. She had a pile of clean straw in the"
"29"	"corner for a bed, some cheap but well-kept clothing was hanging on the"
"30"	"wall, there was a tin lantern freckling the floor with little spots of"
"31"	"light, and there were various soap-and-candle boxes scattered about,"
"32"	"which served for chairs. The two sat down. Roxy said--"
"33"	"\"Now den, I'll tell you straight off, en I'll begin to k'leck de money"
"34"	"later on; I ain't in no hurry. What does you reckon I's gwine to tell"
"35"	"you?\""
"36"	"\"Well, you--you--oh, Roxy, don't make it too hard for me! Come right out"
"37"	"and tell me you've found out somehow what a shape I'm in on account of"
"38"	"dissipation and foolishness.\""
"39"	"\"Disposition en foolishness! No sir, dat ain't it. Dat jist ain't"
"40"	"nothin' at all, 'longside o' what I knows.\""
"41"	"Tom stared at her, and said--"
"42"	"\"Why, Roxy, what do you mean?\""
"43"	"She rose, and gloomed above him like a Fate."
"44"	"\"I means dis--en it's de Lord's truth. You ain't no more kin to ole"
"45"	"Marse Driscoll den I is!--dat's what I means!\" and her eyes flamed with"
"46"	"triumph."
"47"	"\"What!\""
"48"	"\"Yassir, en dat ain't all! You's a nigger!--bawn a nigger en a"
"49"	"slave!--en you's a nigger en a slave dis minute; en if I opens my mouf"
"50"	"ole Marse Driscoll'll sell you down de river befo' you is two days older"
"51"	"den what you is now!\""
"52"	"\"It's a thundering lie, you miserable old blatherskite!\""
"53"	"\"It ain't no lie, nuther. It's jes de truth, en nothin' but de truth, so"
"54"	"he'p me. Yassir--you's my son--\""
"55"	"\"You devil!\""
"56"	"\"En dat po' boy dat you's be'n a-kickin' en a-cuffin' to-day is Percy"
"57"	"Driscoll's son en yo' marster--\""
"58"	"\"You beast!\""
"59"	"\"En his name's Tom Driscoll, en yo' name's Valet de Chambers, en you"
"60"	"ain't got no fambly name, beca'se niggers don't have em!\""
"61"	"Tom sprang up and seized a billet of wood and raised raised it; but his"
"62"	"mother only laughed at him, and said--"
"63"	"\"Set down, you pup! Does you think you kin skyer me? It ain't in you,"
"64"	"nor de likes of you. I reckon you'd shoot me in de back, maybe, if you"
"65"	"got a chance, for dat's jist yo' style--I knows you, throo en throo--but"
"66"	"I don't mind gitt'n killed, beca'se all dis is down in writin' en it's"
"67"	"in safe hands, too, en de man dat's got it knows whah to look for de"
"68"	"right man when I gits killed. Oh, bless yo' soul, if you puts yo' mother"
