"x"
"1"	"CHAPTER XVIII."
"2"	"Roxana Commands."
"3"	"Gratitude and treachery are merely the two extremities of the same"
"4"	"procession. You have seen all of it that is worth staying for when the"
"5"	"band and the gaudy officials have gone by.--Pudd'nhead Wilson's"
"6"	"Calendar."
"7"	"Thanksgiving Day. Let all give humble, hearty, and sincere thanks, now,"
"8"	"but the turkeys. In the island of Fiji they do not use turkeys; they use"
"9"	"plumbers. It does not become you and me to sneer at Fiji.--Pudd'nhead"
"10"	"Wilson's Calendar."
"11"	"The Friday after the election was a rainy one in St. Louis. It rained"
"12"	"all day long, and rained hard, apparently trying its best to wash that"
"13"	"soot-blackened town white, but of course not succeeding. Toward midnight"
"14"	"Tom Driscoll arrived at his lodgings from the theatre in the heavy"
"15"	"downpour, and closed his umbrella and let himself in; but when he would"
"16"	"have shut the door, he found that there was another person"
"17"	"entering--doubtless another lodger; this person closed the door and"
"18"	"tramped up-stairs behind Tom. Tom found his door in the dark, and"
"19"	"entered it and turned up the gas. When he faced about, lightly"
"20"	"whistling, he saw the back of a man. The man was closing and locking his"
"21"	"door for him. His whistle faded out and he felt uneasy. The man turned"
"22"	"around, a wreck of shabby old clothes, sodden with rain and all a-drip,"
"23"	"and showed a black face under an old slouch hat. Tom was frightened. He"
"24"	"tried to order the man out, but the words refused to come, and the other"
"25"	"man got the start. He said, in a low voice--"
"26"	"\"Keep still--I's yo' mother!\""
"27"	"Tom sunk in a heap on a chair, and gasped out--"
"28"	"\"It was mean of me, and base--I know it; but I meant it for the best, I"
"29"	"did indeed--I can swear it.\""
"30"	"Roxana stood awhile looking mutely down on him while he writhed in shame"
"31"	"and went on incoherently babbling self-accusations mixed with pitiful"
"32"	"attempts at explanation and palliation of his crime; then she seated"
"33"	"herself and took off her hat, and her unkept masses of long brown hair"
"34"	"tumbled down about her shoulders."
"35"	"\"It ain't no fault o' yo'n dat dat ain't gray,\" she said sadly, noticing"
"36"	"the hair."
"37"	"\"I know it, I know it! I'm a scoundrel. But I swear I meant it for the"
"38"	"best. It was a mistake, of course, but I thought it was for the best, I"
"39"	"truly did.\""
"40"	"Roxana began to cry softly, and presently words began to find their way"
"41"	"out between her sobs. They were uttered lamentingly, rather than"
"42"	"angrily--"
"43"	"\"Sell a pusson down de river--down the river!--for de bes'! I wouldn't"
"44"	"treat a dog so! I is all broke down en wore out, now, en so I reckon it"
"45"	"ain't in me to storm aroun' no mo', like I used to when I 'uz trompled"
"46"	"on en 'bused. I don't know--but maybe it's so. Leastways, I's suffered"
"47"	"so much dat mournin' seem to come mo' handy to me now den stormin'.\""
"48"	"These words should have touched Tom Driscoll, but if they did, that"
"49"	"effect was obliterated by a stronger one--one which removed the heavy"
"50"	"weight of fear which lay upon him, and gave his crushed spirit a most"
"51"	"grateful rebound, and filled all his small soul with a deep sense of"
"52"	"relief. But he kept prudently still, and ventured no comment. There was"
"53"	"a voiceless interval of some duration, now, in which no sounds were"
"54"	"heard but the beating of the rain upon the panes, the sighing and"
"55"	"complaining of the winds, and now and then a muffled sob from Roxana."
"56"	"The sobs became more and more infrequent, and at last ceased. Then the"
"57"	"refugee began to talk again:"
"58"	"\"Shet down dat light a little. More. More yit. A pusson dat is hunted"
"59"	"don't like de light. Dah--dat'll do. I kin see whah you is, en dat's"
"60"	"enough. I's gwine to tell you de tale, en cut it jes as short as I kin,"
"61"	"en den I'll tell you what you's got to do. Dat man dat bought me ain't a"
"62"	"bad man; he's good enough, as planters goes; en if he could 'a' had his"
"63"	"way I'd 'a' be'n a house servant in his fambly en be'n comfortable: but"
"64"	"his wife she was a Yank, en not right down good lookin', en she riz up"
"65"	"agin me straight off; so den dey sent me out to de quarter 'mongst de"
"66"	"common fiel' han's. Dat woman warn't satisfied even wid dat, but she"
"67"	"worked up de overseer ag'in' me, she 'uz dat jealous en hateful; so de"
"68"	"overseer he had me out befo' day in de mawnin's en worked me de whole"
"69"	"long day as long as dey 'uz any light to see by; en many's de lashin's I"
"70"	"got 'ca'se I couldn't come up to de work o' de stronges'. Dat overseer"
"71"	"wuz a Yank, too, outen New Englan', en anybody down South kin tell you"
"72"	"what dat mean. Dey knows how to work a nigger to death, en dey knows how"
"73"	"to whale 'em, too--whale 'em till dey backs is welted like a washboard."
"74"	"'Long at fust my marster say de good word for me to de overseer, but dat"
"75"	"'uz bad for me; for de mistis she fine it out, en arter dat I jist"
"76"	"ketched it at every turn--dey warn't no mercy for me no mo'.\""
"77"	"Tom's heart was fired--with fury against the planter's wife; and he said"
"78"	"to himself, \"But for that meddlesome fool, everything would have gone"
"79"	"all right.\" He added a deep and bitter curse against her."
"80"	"The expression of this sentiment was fiercely written in his face, and"
"81"	"stood thus revealed to Roxana by a white glare of lightning which turned"
"82"	"the somber dusk of the room into dazzling day at that moment. She was"
"83"	"pleased--pleased and grateful; for did not that expression show that her"
"84"	"child was capable of grieving for his mother's wrongs and of feeling"
"85"	"resentment toward her persecutors?--a thing which she had been doubting."
"86"	"But her flash of happiness was only a flash, and went out again and left"
"87"	"her spirit dark; for she said to herself, \"He sole me down de river--he"
"88"	"can't feel for a body long: dis'll pass en go.\" Then she took up her"
"89"	"tale again."
"90"	"\"'Bout ten days ago I 'uz sayin' to myself dat I couldn't las' many mo'"
"91"	"weeks I 'uz so wore out wid de awful work en de lashin's, en so"
"92"	"downhearted en misable. En I didn't care no mo', nuther--life warn't"
"93"	"wuth noth'n' to me, if I got to go on like dat. Well, when a body is in"
"94"	"a frame o' mine like dat, what do a body care what a body do? Dey was a"
"95"	"little sickly nigger wench 'bout ten year ole dat 'uz good to me, en"
"96"	"hadn't no mammy, po' thing, en I loved her en she loved me; en she come"
"97"	"out whah I 'uz workin 'en she had a roasted tater, en tried to slip it"
"98"	"to me,--robbin' herself, you see, 'ca'se she knowed de overseer didn't"
"99"	"gimme enough to eat,--en he ketched her at it, en give her a lick acrost"
"100"	"de back wid his stick, which 'uz as thick as a broom-handle, en she"
"101"	"drop' screamin' on de groun', en squirmin' en wallerin' aroun' in de"
"102"	"dust like a spider dat's got crippled. I couldn't stan' it. All de"
"103"	"hell-fire dat 'uz ever in my heart flame' up, en I snatch de stick outen"
"104"	"his han' en laid him flat. He laid dah moanin' en cussin', en all out of"
"105"	"his head, you know, en de niggers 'uz plumb sk'yred to death. Dey"
"106"	"gathered roun' him to he'p him, en I jumped on his hoss en took out for"
"107"	"de river as tight as I could go. I knowed what dey would do wid me. Soon"
"108"	"as he got well he would start in en work me to death if marster let him;"
"109"	"en if dey didn't do dat, they'd sell me furder down de river, en dat's"
"110"	"de same thing. So I 'lowed to drown myself en git out o' my troubles. It"
"111"	"'uz gitt'n' towards dark. I 'uz at de river in two minutes. Den I see a"
"112"	"canoe, en I says dey ain't no use to drown myself tell I got to; so I"
"113"	"ties de hoss in de edge o' de timber en shove out down de river, keepin'"
"114"	"in under de shelter o' de bluff bank en prayin' for de dark to shet down"
"115"	"quick. I had a pow'ful good start, 'ca'se de big house 'uz three mile"
"116"	"back f'om de river en on'y de work-mules to ride dah on, en on'y niggers"
"117"	"to ride 'em, en dey warn't gwine to hurry--dey'd gimme all de chance dey"
"118"	"could. Befo' a body could go to de house en back it would be long pas'"
"119"	"dark, en dey couldn't track de hoss en fine out which way I went tell"
"120"	"mawnin', en de niggers would tell 'em all de lies dey could 'bout it."
"121"	"\"Well, de dark come, en I went on a-spinnin' down de river. I paddled"
"122"	"mo'n two hours, den I warn't worried no mo', so I quit paddlin, en"
"123"	"floated down de current, considerin' what I 'uz gwine to do if I didn't"
"124"	"have to drown myself. I made up some plans, en floated along, turnin'"
"125"	"'em over in my mine. Well, when it 'uz a little pas' midnight, as I"
"126"	"reckoned, en I had come fifteen or twenty mile, I see de lights o' a"
"127"	"steamboat layin' at de bank, whah dey warn't no town en no woodyard, en"
"128"	"putty soon I ketched de shape o' de chimbly-tops ag'in' de stars, en den"
"129"	"good gracious me, I 'most jumped out o' my skin for joy! It 'uz de Gran'"
"130"	"Mogul--I 'uz chambermaid on her for eight seasons in de Cincinnati en"
"131"	"Orleans trade. I slid 'long pas'--don't see nobody stirrin' nowhah--hear"
"132"	"'em a-hammerin' away in de engine-room, den I knowed what de matter"
"133"	"was--some o' de machinery's broke. I got asho' below de boat and turn'"
"134"	"de canoe loose, den I goes 'long up, en dey 'uz jes one plank out, en I"
"135"	"step' 'board de boat. It 'uz pow'ful hot, deckhan's en roustabouts 'uz"
