"x"
"1"	"CHAPTER III."
"2"	"Roxy Plays a Shrewd Trick."
"3"	"Whoever has lived long enough to find out what life is, knows how deep a"
"4"	"debt of gratitude we owe to Adam, the first great benefactor of our"
"5"	"race. He brought death into the world.--Pudd'nhead Wilson's Calendar."
"6"	"Percy Driscoll slept well the night he saved his house-minions from"
"7"	"going down the river, but no wink of sleep visited Roxy's eyes. A"
"8"	"profound terror had taken possession of her. Her child could grow up and"
"9"	"be sold down the river! The thought crazed her with horror. If she dozed"
"10"	"and lost herself for a moment, the next moment she was on her feet"
"11"	"flying to her child's cradle to see if it was still there. Then she"
"12"	"would gather it to her heart and pour out her love upon it in a frenzy"
"13"	"of kisses, moaning, crying, and saying, \"Dey sha'n't, oh, dey"
"14"	"sha'n't!--yo' po' mammy will kill you fust!\""
"15"	"Once, when she was tucking it back in its cradle again, the other child"
"16"	"nestled in its sleep and attracted her attention. She went and stood"
"17"	"over it a long time communing with herself:"
"18"	"\"What has my po' baby done, dat he couldn't have yo' luck? He hain't"
"19"	"done noth'n'. God was good to you; why warn't he good to him? Dey can't"
"20"	"sell you down de river. I hates yo' pappy; he hain't got no heart--for"
"21"	"niggers he hain't, anyways. I hates him, en I could kill him!\" She"
"22"	"paused awhile, thinking; then she burst into wild sobbings again, and"
"23"	"turned away, saying, \"Oh, I got to kill my chile, dey ain't no yuther"
"24"	"way,--killin' him wouldn't save de chile fum goin' down de river. Oh, I"
"25"	"got to do it, yo' po' mammy's got to kill you to save you, honey\"--she"
"26"	"gathered her baby to her bosom, now, and began to smother it with"
"27"	"caresses--\"Mammy's got to kill you--how kin I do it! But yo' mammy ain't"
"28"	"gwine to desert you--no, no; dah, don't cry--she gwine wid you, she"
"29"	"gwine to kill herself too. Come along, honey, come along wid mammy; we"
"30"	"gwine to jump in de river, den de troubles o' dis worl' is all over--dey"
"31"	"don't sell po' niggers down the river over yonder.\""
"32"	"She started toward the door, crooning to the child and hushing it;"
"33"	"midway she stopped, suddenly. She had caught sight of her new Sunday"
"34"	"gown--a cheap curtain-calico thing, a conflagration of gaudy colors and"
"35"	"fantastic figures. She surveyed it wistfully, longingly."
"36"	"\"Hain't ever wore it yet,\" she said, \"en it's jist lovely.\" Then she"
"37"	"nodded her head in response to a pleasant idea, and added, \"No, I ain't"
"38"	"gwine to be fished out, wid everybody lookin' at me, in dis mis'able ole"
"39"	"linsey-woolsey.\""
"40"	"She put down the child and made the change. She looked in the glass and"
"41"	"was astonished at her beauty. She resolved to make her death-toilet"
"42"	"perfect. She took off her handkerchief-turban and dressed her glossy"
"43"	"wealth of hair \"like white folks\"; she added some odds and ends of"
"44"	"rather lurid ribbon and a spray of atrocious artificial flowers; finally"
"45"	"she threw over her shoulders a fluffy thing called a \"cloud\" in that"
"46"	"day, which was of a blazing red complexion. Then she was ready for the"
"47"	"tomb."
"48"	"She gathered up her baby once more; but when her eye fell upon its"
"49"	"miserably short little gray tow-linen shirt and noted the contrast"
"50"	"between its pauper shabbiness and her own volcanic irruption of infernal"
"51"	"splendors, her mother-heart was touched, and she was ashamed."
"52"	"\"No, dolling, mammy ain't gwine to treat you so. De angels is gwine to"
"53"	"'mire you jist as much as dey does yo' mammy. Ain't gwine to have 'em"
"54"	"putt'n' dey han's up 'fo' dey eyes en sayin' to David en Goliah en dem"
"55"	"yuther prophets, 'Dat chile is dress' too indelicate fo' dis place.'\""
"56"	"By this time she had stripped off the shirt. Now she clothed the naked"
"57"	"little creature in one of Thomas à Becket's snowy long baby-gowns, with"
"58"	"its bright blue bows and dainty flummery of ruffles."
"59"	"\"Dah--now you's fixed.\" She propped the child in a chair and stood off"
"60"	"to inspect it. Straightway her eyes began to widen with astonishment and"
"61"	"admiration, and she clapped her hands and cried out, \"Why, it do beat"
"62"	"all!--I never knowed you was so lovely. Marse Tommy ain't a bit"
"63"	"puttier--not a single bit.\""
"64"	"She stepped over and glanced at the other infant; she flung a glance"
"65"	"back at her own; then one more at the heir of the house. Now a strange"
"66"	"light dawned in her eyes, and in a moment she was lost in thought. She"
