"x"
"1"	"CHAPTER VIII."
"2"	"Marse Tom Tramples His Chance."
"3"	"The holy passion of Friendship is of so sweet and steady and loyal and"
"4"	"enduring a nature that it will last through a whole lifetime, if not"
"5"	"asked to lend money.--Pudd'nhead Wilson's Calendar."
"6"	"Consider well the proportions of things. It is better to be a young"
"7"	"June-bug than an old bird of paradise.--Pudd'nhead Wilson's Calendar."
"8"	"It is necessary now, to hunt up Roxy."
"9"	"At the time she was set free and went away chambermaiding, she was"
"10"	"thirty-five. She got a berth as second chambermaid on a Cincinnati boat"
"11"	"in the New Orleans trade, the Grand Mogul. A couple of trips made her"
"12"	"wonted and easy-going at the work, and infatuated her with the stir and"
"13"	"adventure and independence of steamboat life. Then she was promoted and"
"14"	"became head chambermaid. She was a favorite with the officers, and"
"15"	"exceedingly proud of their joking and friendly way with her."
"16"	"During eight years she served three parts of the year on that boat, and"
"17"	"the winters on a Vicksburg packet. But now for two months she had had"
"18"	"rheumatism in her arms, and was obliged to let the wash-tub alone. So"
"19"	"she resigned. But she was well fixed--rich, as she would have described"
"20"	"it; for she had lived a steady life, and had banked four dollars every"
"21"	"month in New Orleans as a provision for her old age. She said in the"
"22"	"start that she had \"put shoes on one bar'footed nigger to tromple on her"
"23"	"with,\" and that one mistake like that was enough; she would be"
"24"	"independent of the human race thenceforth forevermore if hard work and"
"25"	"economy could accomplish it. When the boat touched the levee at New"
"26"	"Orleans she bade good-by to her comrades on the Grand Mogul and moved"
"27"	"her kit ashore."
"28"	"But she was back in a hour. The bank had gone to smash and carried her"
"29"	"four hundred dollars with it. She was a pauper, and homeless. Also"
"30"	"disabled bodily, at least for the present. The officers were full of"
"31"	"sympathy for her in her trouble, and made up a little purse for her. She"
"32"	"resolved to go to her birthplace; she had friends there among the"
"33"	"negroes, and the unfortunate always help the unfortunate, she was well"
"34"	"aware of that; those lowly comrades of her youth would not let her"
"35"	"starve."
"36"	"She took the little local packet at Cairo, and now she was on the"
"37"	"home-stretch. Time had worn away her bitterness against her son, and she"
"38"	"was able to think of him with serenity. She put the vile side of him out"
"39"	"of her mind, and dwelt only on recollections of his occasional acts of"
"40"	"kindness to her. She gilded and otherwise decorated these, and made them"
"41"	"very pleasant to contemplate. She began to long to see him. She would go"
"42"	"and fawn upon him, slave-like--for this would have to be her attitude,"
"43"	"of course--and maybe she would find that time had modified him, and that"
"44"	"he would be glad to see his long-forgotten old nurse and treat her"
"45"	"gently. That would be lovely; that would make her forget her woes and"
"46"	"her poverty."
"47"	"Her poverty! That thought inspired her to add another castle to her"
"48"	"dream: maybe he would give her a trifle now and then--maybe a dollar,"
"49"	"once a month, say; any little thing like that would help, oh, ever so"
"50"	"much."
"51"	"By the time she reached Dawson's Landing she was her old self again; her"
"52"	"blues were gone, she was in high feather. She would get along, surely;"
"53"	"there were many kitchens where the servants would share their meals with"
"54"	"her, and also steal sugar and apples and other dainties for her to carry"
"55"	"home--or give her a chance to pilfer them herself, which would answer"
"56"	"just as well. And there was the church. She was a more rabid and devoted"
"57"	"Methodist than ever, and her piety was no sham, but was strong and"
"58"	"sincere. Yes, with plenty of creature comforts and her old place in the"
"59"	"amen-corner in her possession again, she would be perfectly happy and at"
"60"	"peace thenceforward to the end."
"61"	"She went to Judge Driscoll's kitchen first of all. She was received"
"62"	"there in great form and with vast enthusiasm. Her wonderful travels, and"
"63"	"the strange countries she had seen and the adventures she had had, made"
"64"	"her a marvel, and a heroine of romance. The negroes hung enchanted upon"
"65"	"the great story of her experiences, interrupting her all along with"
"66"	"eager questions, with laughter, exclamations of delight and expressions"
